adoption_year	name	slug	original_slug	has_blog_text	has_image
2022	Daisy Brindle	daisy-2022	daisy-2022	yes	yes
2022	Gabby	gabby-2022	gabby-2022	yes	yes
2022	Poppy	poppy-2022	poppy-2022	yes	yes
2022	Duke	duke-fawnequin-2022	duke-fawnequin-2022	yes	yes
2022	Max	max-2022	max-2022	yes	yes
2022	Tigs	tigs-2022	tigs-2022	yes	yes
2022	Nike	nike-2022	nike-2022	yes	yes
2022	Athena	athena-2022	None	yes	yes
2022	Luna	luna-2022	luna-2022	yes	yes
2023	Rocky	rocky-2023	rocky-2023	yes	yes
2023	Antero	antero-2023	antero-2023	yes	yes
2023	Dakota	dakota-2023	dakota-2023	yes	yes
2023	Manitou	manitou-2023	manitou-2023	yes	yes
2023	Orvis	orvis-2023	orvis-2023	yes	yes
2025	Journey	journey-2025	journey-2025	yes	yes
2023	Salida	salida-2023	salida-2023	yes	yes
2023	Waunita	waunita-2023	waunita-2023	yes	yes
2023	Zeva	zeva-2023	zeva-2023	yes	yes
2023	Charlee	charlee-2023	charlee-2023	yes	yes
2023	Sam	sam-2023	sam-2023	yes	yes
2024	Lu	lu-2024	lu-2024	yes	yes
2024	Asher	asher-2024	asher-2024	yes	yes
2024	Zeus	zeus-2024	zeus-2024	yes	yes
2024	Claire	claire-2024	claire-2024	yes	yes
2024	Romeo	romeo-2024	romeo-2024	yes	yes
2024	Big Mac	big-mac-2024	big-mac-2024	yes	yes
2024	Moose	moose-2024	moose-2024	yes	yes
2024	Loki	loki-2024	loki-2024	yes	yes
2024	Ivy	ivy-2024	ivy-2024	yes	yes
2024	Kai	kai-2024	kai-2024	yes	yes
2024	Kira	kira-2024	kira-2024	yes	yes
2025	Bentley	bentley-2025	bentley-2025	yes	yes
2025	Oliver	oliver-2025	oliver-2025	yes	yes
2025	Toby	toby-2025	toby-2025	yes	yes
2025	Butter	butter-2025	butter-2025	yes	yes
2025	Kara	kara-2025	kara-2025	yes	yes
2025	Milan	milan-2025	milan-2025	yes	yes
2025	Dane	dane-2025	dane-2025	yes	yes
2022	Athena	athena-2022-2	athena-2022	yes	yes
2022	Iris (now Sammy)	iris-2022	iris-2022	yes	yes
2022	Charlie	charlie-2022	charlie-2022	yes	yes
2022	Penelope	penelope-july-2022	penelope-july-2022	yes	yes
2022	Juniper	juniper-2022	juniper-2022	yes	yes
2022	Phoebe	phoebe-2022	phoebe-2022	yes	yes
2022	Mera	mera-2022	mera-2022	yes	yes
2022	Duke	duke-black-2022	duke-black-2022	yes	yes
2022	Gypsy Rose	gypsy-rose-2022	gypsy-rose-2022	yes	yes
2022	Lucy	lucy-dec-2022	lucy-dec-2022	yes	yes
2022	Mimi	mimi-2022	mimi-2022	yes	yes
2022	Apollo	apollo-2022	apollo-2022	yes	yes
2022	Brandi	brandi-2022	brandi-2022	yes	yes
2022	Max	max-sept-2022	max-sept-2022	yes	yes
2022	Duncan	duncan-2022	duncan-2022	yes	yes
2022	Kingsley	kingsley-2022	kingsley-2022	yes	yes
2022	Dozer	dozer-2022	dozer-2022	yes	yes
2022	Jack	jack-2022	jack-2022	yes	yes
2022	Bella	bella-2022	bella-2022	yes	yes
2022	Penelope	penelope-2022	penelope-2022	yes	yes
2022	Khan	khan-2022	khan-2022	yes	yes
2022	Bruce	bruce-sept-2022	bruce-sept-2022	yes	yes
2022	Siren	siren-2022	siren-2022	yes	yes
2022	George	george-2022	george-2022	yes	yes
2022	Snoop	snoop-2022	snoop-2022	yes	yes
2022	Lilo	lilo-2022	lilo-2022	yes	yes
2022	Holly	holly-2022	holly-2022	yes	yes
2022	Stitch	stitch-2022	stitch-2022	yes	yes
2022	Atlas	atlas-2022	atlas-2022	yes	yes
2022	Ocean	ocean-2022	ocean-2022	yes	yes
2022	Dixie	dixie-2022	dixie-2022	yes	yes
2022	Fats	fats-2022	fats-2022	yes	yes
2022	Ella	ella-sept-2022	ella-sept-2022	yes	yes
2022	Diesel fawn	diesel-2022	diesel-2022	yes	yes
2022	Brooke	brooke-2022	brooke-2022	yes	yes
2023	Athena	athena-2023	athena-2023	yes	yes
2023	Olive	olive-2023	olive-2023	yes	yes
2022	Lucy	lucy-feb-2022	lucy-feb-2022	yes	yes
2023	Duke	duke-2023	duke-2023	yes	yes
2023	Bently	bently-2023	bently-2023	yes	yes
2023	Toni	toni-2023	toni-2023	yes	yes
2023	Babe	babe-2023	babe-2023	yes	yes
2023	Willie	willie-2023	willie-2023	yes	yes
2023	Buck	buck-2023	buck-2023	yes	yes
2023	Kane	kane-2023	kane-2023	yes	yes
2023	Cambria	cambria-2023	cambria-2023	yes	yes
2023	Willow	willow-2023	willow-2023	yes	yes
2023	Romeo	romeo-2023	romeo-2023	yes	yes
2023	Bohdi	bohdi-2023	bohdi-2023	yes	yes
2023	Drago	drago-2023	drago-2023	yes	yes
2023	Lucy	lucy-feb-2023	lucy-feb-2023	yes	yes
2024	Bruno	bruno-2024	bruno-2024	yes	yes
2023	Luna	luna-2023	luna-2023	yes	yes
2023	Fiona	fiona-2023	fiona-2023	yes	yes
