# CR-RMGDRI-MEDIA-LEGACY-UPLOADS-002 — per-file optimization results
# Generated: 2026-05-06T17:31:03.454Z
# Tool: sharp 0.34.5
# Strategy: resize max 1200px (no upscale); JPEG q80 mozjpeg; PNG palette-q80 (libimagequant) with truecolor-fallback
rel_path	in_bytes	out_bytes	in_kb	out_kb	reduction_pct
2024/11/Tyr-success-photo.png	6947948	986193	6785.1	963.1	85.8
2025/10/Oliver-success.png	4376236	844894	4273.7	825.1	80.7
2025/06/Bolt-success.png	3812844	809288	3723.5	790.3	78.8
2025/12/Odie-success.png	3675567	705245	3589.4	688.7	80.8
2025/03/Roxxy-success.png	1282926	453745	1252.9	443.1	64.6
2025/04/Echo-Success.png	1598769	452508	1561.3	441.9	71.7
2025/06/Lady-success-2-scaled.jpeg	950617	385957	928.3	376.9	59.4
2025/10/Misty-10.jpg	688880	379322	672.7	370.4	44.9
2024/12/Kira-success.jpg	1312978	379240	1282.2	370.4	71.1
2024/01/Watson-6.jpeg	872710	376840	852.3	368.0	56.8
2025/07/resizecom_Donut-success.png	837954	359579	818.3	351.2	57.1
2024/08/Clementine-3.jpg	395453	354144	386.2	345.8	10.4
2024/12/Huey-1-scaled.jpg	923113	341014	901.5	333.0	63.1
2023/12/Scooby-1.jpeg	907321	320757	886.1	313.2	64.6
2025/02/Velma-success-scaled.jpg	639955	316998	625.0	309.6	50.5
2025/02/Sheba-success-1-scaled.jpg	383007	309689	374.0	302.4	19.1
2023/12/Pumpkin-11.20.23.jpeg	885677	293315	864.9	286.4	66.9
2023/09/Sam-2.jpg	895582	268047	874.6	261.8	70.1
2022/12/LUNA_connie-SUCCESS-photo.jpg	618684	265033	604.2	258.8	57.2
2023/03/Salida-success.png	864927	260574	844.7	254.5	69.9
2024/04/Sailor-success-scaled.jpg	648599	258835	633.4	252.8	60.1
2022/12/Lucy-Success-1-IMG_2251.jpg	598417	258298	584.4	252.2	56.8
2025/05/IMG_6694-scaled.jpg	473657	255164	462.6	249.2	46.1
2022/09/Ocean-success-2.jpg	505076	247670	493.2	241.9	51.0
2022/01/Charlie-success-IMG_3210.jpeg	769301	246500	751.3	240.7	68.0
2025/09/Kara-Success.jpeg	825285	245976	805.9	240.2	70.2
2022/04/Gabby-Success.jpg	921713	243727	900.1	238.0	73.6
2023/05/Pharaoh-success.png	761012	229643	743.2	224.3	69.8
2024/08/Ivy-Success-photo-scaled.jpg	535862	228665	523.3	223.3	57.3
2024/10/Lokii-UT-11.jpg	663199	227801	647.7	222.5	65.7
2025/05/Zelda-success-IMG_1502-scaled.jpg	588662	223321	574.9	218.1	62.1
2024/07/Blue-Harl-success-1.jpg	974095	219316	951.3	214.2	77.5
2024/08/Hennesseey-2.jpg	255986	217509	250.0	212.4	15.0
2025/08/Bear-4.jpg	394228	212757	385.0	207.8	46.0
2024/10/Siryn-Rey-Success.jpeg	383017	209515	374.0	204.6	45.3
2025/04/phantom-success-scaled.jpg	751013	209463	733.4	204.6	72.1
2025/03/Blue-6.jpeg	345386	209185	337.3	204.3	39.4
2024/07/Blue-Success1-scaled.jpg	647885	207207	632.7	202.4	68.0
2025/04/Josie-success-scaled.jpeg	430354	207136	420.3	202.3	51.9
2025/03/Harely-brindle-success-scaled.jpg	540666	206934	528.0	202.1	61.7
2025/04/Harley-Success.jpg	867971	206507	847.6	201.7	76.2
2024/06/Thor-success.jpeg	371170	203283	362.5	198.5	45.2
2025/02/Maximus-success-scaled.jpg	653683	202456	638.4	197.7	69.0
2024/09/Loki-Success.png	641860	201977	626.8	197.2	68.5
2024/04/Tyson-Success.jpeg	369135	196497	360.5	191.9	46.8
2024/08/Luna-Success.png	491165	194547	479.7	190.0	60.4
2024/10/DukeLV-2-scaled.jpg	424638	192848	414.7	188.3	54.6
2024/10/echo-and-Ronan-success.png	675787	192322	659.9	187.8	71.5
2024/12/Skoll-Success-Photo.jpg	429146	189394	419.1	185.0	55.9
2023/01/Gypsy-Rose-2.png	648304	189336	633.1	184.9	70.8
2024/12/Lady-success-scaled.jpg	302903	187658	295.8	183.3	38.0
2024/08/Cowboy-success.png	565793	181399	552.5	177.1	67.9
2024/09/Mavis-success.png	677630	180090	661.7	175.9	73.4
2024/09/Niko-success.png	473964	178932	462.9	174.7	62.2
2024/11/Luna-Nova-success.png	675513	176396	659.7	172.3	73.9
2024/06/Ada-Success.png	611147	176175	596.8	172.0	71.2
2025/02/Winston-success.png	722624	173627	705.7	169.6	76.0
2025/03/Toby-bfg-1.jpg	332157	173091	324.4	169.0	47.9
2024/10/Dazzle-success.png	661244	172772	645.7	168.7	73.9
2025/01/Erza-succeess.png	630235	171679	615.5	167.7	72.8
2025/10/Phoenix-success.jpg	311957	168696	304.6	164.7	45.9
2025/02/Bee-4.jpg	315603	168677	308.2	164.7	46.6
2021/12/Duncan_0823.jpg	652011	168672	636.7	164.7	74.1
2024/12/Louise-success.png	566205	167464	552.9	163.5	70.4
2024/09/Big-Mac-Success.png	633862	167309	619.0	163.4	73.6
2022/09/Brooke-Success.png	601597	164446	587.5	160.6	72.7
2022/04/Tigs-success.jpeg	365853	163236	357.3	159.4	55.4
2022/02/Lucy-2022-success.jpg	421108	162313	411.2	158.5	61.5
2025/02/Onyx-success-1.png	428805	159316	418.8	155.6	62.8
2025/02/Bentely-success.png	752497	157442	734.9	153.8	79.1
2025/09/Forest-10.jpg	384138	154254	375.1	150.6	59.8
2025/08/Milan-6.jpg	492761	153784	481.2	150.2	68.8
2023/03/Willow-Success.jpg	305085	153694	297.9	150.1	49.6
2024/12/Dewey-scaled.jpg	496908	150305	485.3	146.8	69.8
2024/01/Malikai-success.png	403850	149743	394.4	146.2	62.9
2022/07/Dixie-2.jpg	244979	149507	239.2	146.0	39.0
2022/11/Success1.Athena.png	692831	149434	676.6	145.9	78.4
2023/05/Bruno-Harl-3.jpg	328640	149344	320.9	145.8	54.6
2023/03/Olive-Success.jpg	346224	149216	338.1	145.7	56.9
2025/09/Dane-Vader-success.png	451203	148495	440.6	145.0	67.1
2025/11/Sammi-success-scaled.jpg	478058	148484	466.9	145.0	68.9
2023/01/Lucy-1-2.jpeg	591459	146228	577.6	142.8	75.3
2025/02/Jack-1-scaled.jpg	420147	145159	410.3	141.8	65.5
2022/10/Diesel-fawn-Success.png	446183	144755	435.7	141.4	67.6
2022/12/stitctch-success-2.jpg	514840	143820	502.8	140.4	72.1
2024/03/Athena-Harl-success.png	639664	142571	624.7	139.2	77.7
2024/02/Lu-1-021424-scaled.jpg	460309	137717	449.5	134.5	70.1
2024/06/Duke-angel-1.jpg	277493	136237	271.0	133.0	50.9
2024/09/Moose-success.png	407857	134511	398.3	131.4	67.0
2023/06/Declan-060223-1.jpg	216062	133615	211.0	130.5	38.2
2024/12/Milo-success.png	567850	133352	554.5	130.2	76.5
2023/04/Antero-success.png	383104	132759	374.1	129.6	65.3
2024/11/Maggie-success.png	489577	132679	478.1	129.6	72.9
2023/03/Richard-Heidi-Lexie-Jimmy-Kane-3-16-23-1.jpg	427318	131316	417.3	128.2	69.3
2025/12/Bruce-success.png	355212	129931	346.9	126.9	63.4
2023/09/Rocky-Success.png	534091	127639	521.6	124.6	76.1
2025/02/Bruno-fawn-success.png	531726	127163	519.3	124.2	76.1
2025/08/Arlo080325-scaled.jpg	245367	123593	239.6	120.7	49.6
2024/05/Success-1-Apollo-11.png	363127	123403	354.6	120.5	66.0
2023/05/Toni-Success.png	289543	123043	282.8	120.2	57.5
2024/02/Salem-head-scaled.jpeg	434714	122245	424.5	119.4	71.9
2024/11/Kumo-success.png	461132	117260	450.3	114.5	74.6
2023/03/Dakota-success.png	292474	116868	285.6	114.1	60.0
2024/02/asher-success.jpg	240428	116449	234.8	113.7	51.6
2024/10/BrunoLV2-scaled.jpg	264721	116243	258.5	113.5	56.1
2023/06/Fiona-success.png	293080	115331	286.2	112.6	60.6
2025/06/Journey-success-2.jpg	110132	112377	107.6	109.7	-2.0
2025/01/Tiny-Tim-scaled.jpeg	398158	111960	388.8	109.3	71.9
2025/06/Tux-8.jpg	271177	111652	264.8	109.0	58.8
2023/03/Waunita-success-IMG_7064.jpg	244857	108958	239.1	106.4	55.5
2023/03/Manitou-success.png	305471	107859	298.3	105.3	64.7
2024/12/Ember-Success.jpg	267669	105929	261.4	103.4	60.4
2022/02/Dozer.mix-1.jpg	130356	105245	127.3	102.8	19.3
2024/02/Maggie-pic-10.jpg	471563	104368	460.5	101.9	77.9
2024/05/zeus-success-1.png	317909	103720	310.5	101.3	67.4
2023/08/Zeva-Blue-success.jpg	112002	100046	109.4	97.7	10.7
2024/07/Apollo-Success.jpg	645880	98524	630.7	96.2	84.7
2023/05/Maggie-1.jpg	201048	95752	196.3	93.5	52.4
2023/09/blue8.jpg	117091	94972	114.3	92.7	18.9
2023/06/success-3-image.png	306447	94592	299.3	92.4	69.1
2023/10/drago-success.png	315003	92801	307.6	90.6	70.5
2022/03/Kingsley-success.jpeg	119828	92520	117.0	90.4	22.8
2024/12/Lilah-2.jpg	202990	88957	198.2	86.9	56.2
2025/02/Scooby-success.png	282743	88539	276.1	86.5	68.7
2024/04/Dan-success.png	313947	87839	306.6	85.8	72.0
2022/09/Bruce-Success.jpeg	91817	87766	89.7	85.7	4.4
2023/01/Bodhi-1.jpg	99727	87243	97.4	85.2	12.5
2024/12/Korben-Success.jpg	162901	84635	159.1	82.7	48.0
2024/06/Millie-Success.png	209966	83571	205.0	81.6	60.2
2024/07/Stetson-success.png	214460	82463	209.4	80.5	61.5
2024/12/Ramona-success.png	264461	82452	258.3	80.5	68.8
2024/04/Coco-Success.jpg	165162	81798	161.3	79.9	50.5
2025/08/zena-success.png	254146	81617	248.2	79.7	67.9
2022/10/Atlas-success.png	222631	79861	217.4	78.0	64.1
2022/09/Success-Max.jpg	143171	77591	139.8	75.8	45.8
2024/07/Harlem-success.jpeg	140565	76739	137.3	74.9	45.4
2024/05/Romeo-success-2.jpg	163227	75972	159.4	74.2	53.5
2024/11/Kai-success.jpg	139529	75395	136.3	73.6	46.0
2023/01/Willie-3.jpg	162101	69981	158.3	68.3	56.8
2025/08/Bailey-success.png	215288	67335	210.2	65.8	68.7
2025/05/Groot-success.jpg	117943	65652	115.2	64.1	44.3
2023/08/Simba-success.png	179756	63816	175.5	62.3	64.5
2024/08/Ryven-success.png	194701	63251	190.1	61.8	67.5
2024/01/Bela-Success.jpg	79480	62715	77.6	61.2	21.1
2025/08/Merle-success.jpeg	118952	60749	116.2	59.3	48.9
2025/07/Bunker-2.jpg	113367	57419	110.7	56.1	49.4
2022/01/Iris-success.jpeg	62935	55001	61.5	53.7	12.6
2023/04/Titan-Success.jpg	131131	54713	128.1	53.4	58.3
2023/09/Charlee-5.jpg	162122	52569	158.3	51.3	67.6
2022/05/Bella-Success-1.jpg	55586	51551	54.3	50.3	7.3
2023/09/June-the-girls.jpg	109595	51378	107.0	50.2	53.1
2022/09/Success-Ella.jpg	117700	50881	114.9	49.7	56.8
2025/08/Moose-success.jpeg	90317	48575	88.2	47.4	46.2
2025/07/Butter-Success.png	145651	47587	142.2	46.5	67.3
2023/01/Babe-5.jpg	117001	47191	114.3	46.1	59.7
2023/09/WINBEAU-JOSIE.jpeg	80716	46897	78.8	45.8	41.9
2024/11/Scout-success-1.png	110854	46817	108.3	45.7	57.8
2022/02/Duke-Fawniquin-Success.jpg	46604	44786	45.5	43.7	3.9
2022/02/Brandi-success-2.jpeg	117765	44349	115.0	43.3	62.3
2022/02/Penelope-Success2.jpg	98566	43442	96.3	42.4	55.9
2025/04/Sven-12.jpeg	146470	43438	143.0	42.4	70.3
2022/06/Lilo-Black-incoming-pic.png	147366	42819	143.9	41.8	70.9
2024/07/Ella-success.png	167224	39846	163.3	38.9	76.2
2023/01/Bently-17-e1685906018700.jpg	50009	38767	48.8	37.9	22.5
2023/09/THE-KING-AND-I-09082023.jpg	65288	37192	63.8	36.3	43.0
2022/02/Phoebe-success.jpg	77341	35156	75.5	34.3	54.5
2023/06/Luna-Success-2.png	88065	33286	86.0	32.5	62.2
2022/02/Max-success.jpg	59220	31434	57.8	30.7	46.9
2021/11/Daisy-Brindle-pic-4.jpg	72621	30401	70.9	29.7	58.1
2023/02/Orvis-pic-3.jpg	71386	30013	69.7	29.3	58.0
2023/12/Apollo-Merle-incoming-pic-1_inPixio.jpg	148434	29713	145.0	29.0	80.0
2024/04/IMG_0781.jpg	55363	29538	54.1	28.8	46.6
2023/01/Cambria.jpg	85199	27961	83.2	27.3	67.2
2024/07/Oreo-Harl-pic-1.jpg	72579	27875	70.9	27.2	61.6
2022/02/Duke-Black-pic-8.jpg	77801	27811	76.0	27.2	64.3
2022/03/Penelope-Blue-incoming-pic-3.jpg	67826	26963	66.2	26.3	60.2
2024/02/Claire-success-2.jpg	77112	25972	75.3	25.4	66.3
2023/08/Brady-Harl-incoming-pic-1.jpg	66035	25307	64.5	24.7	61.7
2022/01/Juniper-and-Kylo-success.jpg	50354	24259	49.2	23.7	51.8
2022/02/Jack-Merle-pic-5.jpg	55089	23231	53.8	22.7	57.8
2023/01/Duke-success.jpg	75936	22372	74.2	21.8	70.5
2024/04/Vader-incoming-pic-3.jpg	64322	22355	62.8	21.8	65.2
2023/08/Athena-Black-Pup-pic-18.jpg	52836	22314	51.6	21.8	57.8
2021/05/Mera-Black-pic-8.jpg	63637	21192	62.1	20.7	66.7
2024/01/Coffee-Bean-incoming-pic-3.jpg	54442	21192	53.2	20.7	61.1
2023/03/Casper-Merle-incoming-pic-4.jpg	49887	20635	48.7	20.2	58.6
2024/07/Bella-Grey-incoming-pic-3.jpg	72162	20599	70.5	20.1	71.5
2023/01/Buck-Julius-10-1.jpg	48102	20361	47.0	19.9	57.7
2022/04/Mimi-success.jpg	49013	19800	47.9	19.3	59.6
2022/04/Khan-incoming-pic-1.jpg	45016	19252	44.0	18.8	57.2
2024/01/Daisy-Fawn-incoming-pic-1.jpg	44207	18984	43.2	18.5	57.1
2022/05/Spook-Merle-incoming-pic.jpg	48821	18799	47.7	18.4	61.5
2023/03/Romeo-Merle-pic-2.jpg	48873	18611	47.7	18.2	61.9
2024/04/Maizy-Black-incoming-pic-2.jpg	48466	18589	47.3	18.2	61.6
2022/06/Nike-success.jpg	44307	18085	43.3	17.7	59.2
2022/07/Holly-Mantle-pic-5.jpg	43941	16991	42.9	16.6	61.3
2022/07/Siren-Fawn-incoming-pic-2.jpg	40086	16115	39.1	15.7	59.8
2024/02/Lily-Black-success-pic.jpg	39072	15873	38.2	15.5	59.4
2024/03/Remus-Mix-incoming-pic-1_inPixio.jpg	104213	15486	101.8	15.1	85.1
2023/09/Kingston-Harl-incoming-pic-1.jpeg	41963	15227	41.0	14.9	63.7
2024/09/Belle-blue-success.jpg	26358	15107	25.7	14.8	42.7
2023/09/Finnlee-Success-pic-1.jpg	34817	14959	34.0	14.6	57.0
2023/10/Blew-incoming-pic-3_inPixio.jpg	92046	14881	89.9	14.5	83.8
2021/10/Poppy-pic-5.jpg	35897	14503	35.1	14.2	59.6
2022/05/George-Merle-incoming-pic-1.jpg	38260	14228	37.4	13.9	62.8
2022/11/Athena-pic-4.jpg	36201	14132	35.4	13.8	61.0
2025/08/Leo-success.jpeg	24922	12946	24.3	12.6	48.1
2022/08/Fats-Blue-incoming-pic-2.jpg	34751	12331	33.9	12.0	64.5
2021/11/Apollo-incoming-pic-3.jpg	33415	11962	32.6	11.7	64.2
2023/03/Bruno-Black-head.jpg	30581	8463	29.9	8.3	72.3

# === LOCAL VERIFICATION (next start, port 3137) ===
# Method: HEAD via Python http.client.
test_label	path	expected	actual	location	verdict
1. jpg representative	/wp-content/uploads/2021/05/Mera-Black-pic-8.jpg	200	200		PASS
2. png representative	/wp-content/uploads/2022/06/Lilo-Black-incoming-pic.png	200	200		PASS
3.1 sample legacy	/wp-content/uploads/2025/01/Tiny-Tim-scaled.jpeg	200	200		PASS
3.2 sample legacy	/wp-content/uploads/2022/07/Dixie-2.jpg	200	200		PASS
3.3 sample legacy	/wp-content/uploads/2022/01/Iris-success.jpeg	200	200		PASS
3.4 sample legacy	/wp-content/uploads/2025/06/Tux-8.jpg	200	200		PASS
3.5 sample legacy	/wp-content/uploads/2023/06/Declan-060223-1.jpg	200	200		PASS
3.6 sample legacy	/wp-content/uploads/2023/03/Waunita-success-IMG_7064.jpg	200	200		PASS
3.7 sample legacy	/wp-content/uploads/2023/03/Manitou-success.png	200	200		PASS
3.8 sample legacy	/wp-content/uploads/2022/09/Success-Ella.jpg	200	200		PASS
3.9 sample legacy	/wp-content/uploads/2025/06/Lady-success-2-scaled.jpeg	200	200		PASS
3.10 sample legacy	/wp-content/uploads/2022/06/Lilo-Black-incoming-pic.png	200	200		PASS
5. /wp-admin/	/wp-admin/	410	308	/wp-admin	FAIL
5b. /wp-admin/admin-ajax.php	/wp-admin/admin-ajax.php	410	410		PASS
6. /wp-includes/	/wp-includes/	410	308	/wp-includes	FAIL
6b. /wp-includes/css/style.css	/wp-includes/css/style.css	410	410		PASS
7. /wp-json/	/wp-json/	410	308	/wp-json	FAIL
7b. /wp-json/wp/v2/posts	/wp-json/wp/v2/posts	410	410		PASS
8. /wp-login.php	/wp-login.php	410	410		PASS
9. /wp-content/plugins/	/wp-content/plugins/	410	308	/wp-content/plugins	FAIL
9b. /wp-content/plugins/foo.php	/wp-content/plugins/foo.php	410	410		PASS
9c. /wp-content/themes/	/wp-content/themes/	410	308	/wp-content/themes	FAIL
9d. /wp-content/cache/x	/wp-content/cache/x	410	410		PASS
9e. /wp-content (bare)	/wp-content	410	410		PASS
10. /jumbo → 308 /available-danes/jumbo-jet	/jumbo	308	308	/available-danes/jumbo-jet	PASS
11. /2017-adoptions still 410	/2017-adoptions	410	410		PASS
11b. /Photos/foo regex 410	/Photos/foo	410	410		PASS
11c. /2001Donations.html still 410	/2001Donations.html	410	410		PASS
12. /robots.txt 200	/robots.txt	200	200		PASS
13. /sitemap.xml 200	/sitemap.xml	200	200		PASS
