legacy_path	matched_year	slug_match
/ada	2024	ada-2024
/antero	2023	antero-2023
/apollo	2024	apollo-2024
/arlo	2025	arlo-2025
/asher	2024	asher-2024
/athena	2024	athena-2024
/atlas	2022	atlas-2022
/babe	2023	babe-2023
/bailey	2025	bailey-2025
/bee	2025	bee-2025
/bela	2024	bela-2024
/bella	2025	bella-2025
/belle	2024	belle-2024
/bentley	2025	bentley-2025
/bently	2023	bently-2023
/blue	2025	blue-2025
/bolt	2025	bolt-2025
/brady	2023	brady-2023
/brandi	2022	brandi-2022
/bruce	2025	bruce-2025
/bruno	2025	bruno-2025
/buck	2023	buck-2023
/bunker	2025	bunker-2025
/cambria	2023	cambria-2023
/casper	2023	casper-2023
/charlee	2023	charlee-2023
/charlie	2022	charlie-2022
/claire	2024	claire-2024
/coco	2024	coco-2024
/coffee-bean	2024	coffee-bean-2024
/cowboy	2024	cowboy-2024
/daisy	2024	daisy-2024
/dakota	2025	dakota-2025
/dan	2024	dan-2024
/diesel	2022	diesel-2022
/donut	2025	donut-2025
/dozer	2022	dozer-2022
/drago	2023	drago-2023
/duke	2025	duke-2025
/duncan	2022	duncan-2022
/echo	2025	echo-2025
/ella	2024	ella-2024
/erza	2025	erza-2025
/fiona	2023	fiona-2023
/gabby	2022	gabby-2022
/george	2022	george-2022
/groot	2025	groot-2025
/gypsy-rose	2022	gypsy-rose-2022
/harlem	2024	harlem-2024
/hennessey	2025	hennessey-2025
/holly	2022	holly-2022
/journey	2025	journey-2025
/juniper	2022	juniper-2022
/kai	2024	kai-2024
/kane	2023	kane-2023
/kara	2025	kara-2025
/khan	2022	khan-2022
/kingston	2023	kingston-2023
/korben	2024	korben-2024
/kumo	2024	kumo-2024
/lady	2025	lady-2025
/leo	2025	leo-2025
/lilah	2025	lilah-2025
/lilo	2022	lilo-2022
/lily	2024	lily-2024
/loki	2025	loki-2025
/luna	2024	luna-2024
/maggie	2024	maggie-2024
/maivis	2024	maivis-2024
/max	2022	max-2022
/maximus	2025	maximus-2025
/mera	2022	mera-2022
/merle	2025	merle-2025
/milo	2024	milo-2024
/mimi	2022	mimi-2022
/misty	2025	misty-2025
/moose	2025	moose-2025
/nike	2022	nike-2022
/niko	2024	niko-2024
/ocean	2022	ocean-2022
/odie	2025	odie-2025
/olive	2023	olive-2023
/oliver	2025	oliver-2025
/onyx	2025	onyx-2025
/oreo	2024	oreo-2024
/penelope	2022	penelope-2022
/pharaoh	2023	pharaoh-2023
/phoenix	2025	phoenix-2025
/pumpkin	2023	pumpkin-2023
/ramona	2024	ramona-2024
/remus	2024	remus-2024
/rocky	2023	rocky-2023
/romeo	2024	romeo-2024
/roxxy	2025	roxxy-2025
/ryven	2024	ryven-2024
/sailor	2024	sailor-2024
/salem	2024	salem-2024
/sam	2023	sam-2023
/scooby	2025	scooby-2025
/scout	2024	scout-2024
/sheba	2025	sheba-2025
/simba	2023	simba-2023
/siren	2022	siren-2022
/siryn-rey	2024	siryn-rey-2024
/snoop	2022	snoop-2022
/stetson	2024	stetson-2024
/stitch	2022	stitch-2022
/sven	2025	sven-2025
/thor	2024	thor-2024
/tigs	2022	tigs-2022
/tiny-tim	2025	tiny-tim-2025
/titan	2023	titan-2023
/tobias	2023	tobias-2023
/toby	2025	toby-2025
/toni	2023	toni-2023
/tux	2025	tux-2025
/tyr	2024	tyr-2024
/tyson	2024	tyson-2024
/velma	2025	velma-2025
/watson	2024	watson-2024
/waunita	2023	waunita-2023
/willie	2023	willie-2023
/willow	2023	willow-2023
/winston	2025	winston-2025
/zelda	2025	zelda-2025
/zena	2025	zena-2025
/zeus	2024	zeus-2024
/zeva	2023	zeva-2023
