_id	slug	title	publishedAt	adoptionDate	year_field	canonical_year	_createdAt
adoptionSuccess-2025-2025_toby	toby-2025_toby	Toby			2025	2025	2026-02-09T21:27:20Z
adoptionSuccess-2025-2025_oliver	oliver-2025_oliver	Oliver			2025	2025	2026-02-09T21:26:49Z
adoptionSuccess-2025-2025_milan	milan-2025_milan	Milan			2025	2025	2026-02-09T21:26:37Z
adoptionSuccess-2025-2025_kara	kara-2025_kara	Kara			2025	2025	2026-02-09T21:26:19Z
adoptionSuccess-2025-2025_journey	journey-2025_journey	Journey			2025	2025	2026-02-09T21:26:15Z
adoptionSuccess-2025-2025_dane	dane-2025_dane	Dane			2025	2025	2026-02-09T21:25:43Z
adoptionSuccess-2025-2025_bentley	bentley-2025_bentley	Bentley			2025	2025	2026-02-09T21:25:15Z
adoptionSuccess-2024-2024_zeus	zeus-2024_zeus	Zeus			2024	2024	2026-02-09T21:24:59Z
adoptionSuccess-2024-2024_romeo	romeo-2024_romeo	Romeo			2024	2024	2026-02-09T21:24:10Z
adoptionSuccess-2024-2024_moose	moose-2024_moose	Moose			2024	2024	2026-02-09T21:23:55Z
adoptionSuccess-2024-2024_mav-and-millie	mav-and-millie-2024_mav-and-millie	Mav and Millie			2024	2024	2026-02-09T21:23:45Z
adoptionSuccess-2024-2024_lu	lu-2024_lu	Lu			2024	2024	2026-02-09T21:23:20Z
adoptionSuccess-2024-2024_kira	kira-2024_kira	Kira			2024	2024	2026-02-09T21:23:00Z
adoptionSuccess-2024-2024_kai	kai-2024_kai	Kai			2024	2024	2026-02-09T21:22:56Z
adoptionSuccess-2024-2024_ivy	ivy-2024_ivy	Ivy			2024	2024	2026-02-09T21:22:53Z
adoptionSuccess-2024-2024_frankie-was-louie	frankie-was-louie-2024_frankie-was-louie	Frankie (was Louie)			2024	2024	2026-02-09T21:22:42Z
adoptionSuccess-2024-2024_echo-ronan	echo-ronan-2024_echo-ronan	Echo & Ronan			2024	2024	2026-02-09T21:22:32Z
adoptionSuccess-2024-2024_claire	claire-2024_claire	Claire			2024	2024	2026-02-09T21:21:56Z
adoptionSuccess-2024-2024_blu	blu-2024_blu	Blu			2024	2024	2026-02-09T21:21:44Z
adoptionSuccess-2024-2024_big-mac	big-mac-2024_big-mac	Big Mac			2024	2024	2026-02-09T21:21:41Z
adoptionSuccess-2024-2024_asher	asher-2024_asher	Asher			2024	2024	2026-02-09T21:21:28Z
adoptionSuccess-2023-2023_zeva	zeva-2023_zeva	Zeva			2023	2023	2026-02-09T21:21:14Z
adoptionSuccess-2023-2023_waunita	waunita-2023_waunita	Waunita			2023	2023	2026-02-09T21:21:02Z
adoptionSuccess-2023-2023_salida	salida-2023_salida	Salida			2023	2023	2026-02-09T21:20:43Z
adoptionSuccess-2023-2023_rocky	rocky-2023_rocky	Rocky			2023	2023	2026-02-09T21:20:33Z
adoptionSuccess-2023-2023_orvis	orvis-2023_orvis	Orvis			2023	2023	2026-02-09T21:20:23Z
adoptionSuccess-2023-2023_manitou	manitou-2023_manitou	Manitou			2023	2023	2026-02-09T21:20:18Z
adoptionSuccess-2023-2023_dakota	dakota-2023_dakota	Dakota			2023	2023	2026-02-09T21:19:37Z
adoptionSuccess-2023-2023_antero	antero-2023_antero	Antero			2023	2023	2026-02-09T21:18:59Z
adoptionSuccess-2022-2022_tigs	tigs-2022_tigs	Tigs			2022	2022	2026-02-09T21:18:56Z
adoptionSuccess-2022-2022_poppy	poppy-2022_poppy	Poppy			2022	2022	2026-02-09T21:18:44Z
adoptionSuccess-2022-2022_nike	nike-2022_nike	Nike			2022	2022	2026-02-09T21:18:31Z
adoptionSuccess-2022-2022_max	max-2022_max	Max			2022	2022	2026-02-09T21:18:22Z
adoptionSuccess-2022-2022_luna	luna-2022_luna	Luna			2022	2022	2026-02-09T21:18:17Z
adoptionSuccess-2022-2022_gabby	gabby-2022_gabby	Gabby			2022	2022	2026-02-09T21:17:42Z
adoptionSuccess-2022-2022_duke	duke-2022_duke	Duke			2022	2022	2026-02-09T21:17:32Z
adoptionSuccess-2022-2022_daisy-brindle	daisy-brindle-2022_daisy-brindle	Daisy Brindle			2022	2022	2026-02-09T21:17:16Z
adoptionSuccess-2022-2022_athena	athena-2022_athena	Athena			2022	2022	2026-02-09T21:16:54Z
adoptionSuccess-2025-2025039	bruce-2025039	Bruce		2025-12-20	2025	2025	2026-02-09T18:08:00Z
adoptionSuccess-2025-2025043	misty-2025043	Misty		2025-12-07	2025	2025	2026-02-09T18:09:03Z
adoptionSuccess-2025-2025032	odie-2025032	Odie		2025-12-02	2025	2025	2026-02-09T18:09:08Z
adoptionSuccess-2025-2025040	bunker-2025040	Bunker		2025-11-16	2025	2025	2026-02-09T18:08:07Z
adoptionSuccess-2025-2025027	sammi-2025027	Sammi		2025-11-03	2025	2025	2026-02-09T18:09:23Z
adoptionSuccess-2025-2025034	phoenix-2025034	Phoenix		2025-10-31	2025	2025	2026-02-09T18:09:19Z
adoptionSuccess-2025-2025038	arlo-2025038	Arlo		2025-09-27	2025	2025	2026-02-09T18:07:39Z
adoptionSuccess-2025-2025042	forest-2025042	Forest		2025-09-12	2025	2025	2026-02-09T18:08:29Z
adoptionSuccess-2025-2025008	sven-2025008	Sven		2025-08-30	2025	2025	2026-02-09T18:09:31Z
adoptionSuccess-2025-2025037	bear-2025037	Bear		2025-08-30	2025	2025	2026-02-09T18:07:45Z
adoptionSuccess-2025-2025035	leo-2025035	Leo		2025-08-24	2025	2025	2026-02-09T18:08:53Z
adoptionSuccess-2025-2025023	merle-2025023	Merle		2025-08-23	2025	2025	2026-02-09T18:09:01Z
adoptionSuccess-2025-2025014	bee-2025014	Bee		2025-08-22	2025	2025	2026-02-09T18:07:50Z
adoptionSuccess-2025-2025031	moose-2025031	Moose		2025-08-16	2025	2025	2026-02-09T18:09:05Z
adoptionSuccess-2025-2024087	tiny-tim-2024087	Tiny Tim		2025-08-07	2025	2025	2026-02-09T18:09:34Z
adoptionSuccess-2025-2025029	bailey-2025029	Bailey		2025-08-02	2025	2025	2026-02-09T18:07:42Z
adoptionSuccess-2025-2025033	zena-2025033	Zena		2025-08-02	2025	2025	2026-02-09T18:09:53Z
adoptionSuccess-2025-2024071	loki-2024071	Loki		2025-07-31	2025	2025	2026-02-09T18:08:55Z
adoptionSuccess-2025-2025026	tux-2025026	Tux		2025-07-15	2025	2025	2026-02-09T18:09:38Z
adoptionSuccess-2025-ST	butter-ST	Butter		2025-07-05	2025	2025	2026-02-09T18:08:11Z
adoptionSuccess-2025-2024086	donut-2024086	Donut		2025-06-30	2025	2025	2026-02-09T18:08:17Z
adoptionSuccess-2025-2025018	lady-2025018	Lady		2025-06-30	2025	2025	2026-02-09T18:08:50Z
adoptionSuccess-2025-2024078	bruno-2024078	Bruno		2025-05-30	2025	2025	2026-02-09T18:08:01Z
adoptionSuccess-2025-2025015	bolt-2025015	Bolt		2025-05-15	2025	2025	2026-02-09T18:07:57Z
adoptionSuccess-2025-2025016	groot-2025016	Groot		2025-05-14	2025	2025	2026-02-09T18:08:30Z
adoptionSuccess-2025-2025022	jack-2025022	Jack		2025-05-01	2025	2025	2026-02-09T18:08:42Z
adoptionSuccess-2025-2025024	blue-2025024	Blue		2025-04-21	2025	2025	2026-02-09T18:07:54Z
adoptionSuccess-2025-2024076	zelda-2024076	Zelda		2025-04-15	2025	2025	2026-02-09T18:09:50Z
adoptionSuccess-2025-2025013	harley-2025013	Harley		2025-04-03	2025	2025	2026-02-09T18:08:38Z
adoptionSuccess-2025-2025019	phantom-2025019	Phantom		2025-04-03	2025	2025	2026-02-09T18:09:16Z
adoptionSuccess-2025-2025021	josie-2025021	Josie		2025-03-30	2025	2025	2026-02-09T18:08:46Z
adoptionSuccess-2025-2025012	echo-2025012	Echo		2025-03-05	2025	2025	2026-02-09T18:08:22Z
adoptionSuccess-2025-2024063	roxxy-2024063	Roxxy		2025-03-03	2025	2025	2026-02-09T18:09:21Z
adoptionSuccess-2025-2025003	harley-2025003	Harley		2025-02-26	2025	2025	2026-02-09T18:08:34Z
adoptionSuccess-2025-2025007	dakota-2025007	Dakota		2025-02-21	2025	2025	2026-02-09T18:08:14Z
adoptionSuccess-2025-2025004	bruno-2025004	Bruno		2025-02-19	2025	2025	2026-02-09T18:08:05Z
adoptionSuccess-2025-2024088	maximus-2024088	Maximus		2025-02-18	2025	2025	2026-02-09T18:08:58Z
adoptionSuccess-2025-2025006	onyx-2025006	Onyx		2025-02-18	2025	2025	2026-02-09T18:09:12Z
adoptionSuccess-2025-2024064	winston-2024064	Winston		2025-02-17	2025	2025	2026-02-09T18:09:46Z
adoptionSuccess-2025-2025010	scooby-2025010	Scooby		2025-02-12	2025	2025	2026-02-09T18:09:25Z
adoptionSuccess-2025-2025009	velma-2025009	Velma		2025-02-06	2025	2025	2026-02-09T18:09:42Z
adoptionSuccess-2025-2024049	sheba-2024049	Sheba		2025-01-28	2025	2025	2026-02-09T18:09:27Z
adoptionSuccess-2025-2024079	duke-2024079	Duke		2025-01-25	2025	2025	2026-02-09T18:08:18Z
adoptionSuccess-2025-2025001	lilah-2025001	Lilah		2025-01-24	2025	2025	2026-02-09T18:08:54Z
adoptionSuccess-2025-2025002	hennessey-2025002	Hennessey		2025-01-20	2025	2025	2026-02-09T18:08:39Z
adoptionSuccess-2025-2024083	bella-2024083	Bella		2025-01-07	2025	2025	2026-02-09T18:07:51Z
adoptionSuccess-2025-2024082	erza-2024082	Erza		2025-01-03	2025	2025	2026-02-09T18:08:25Z
adoptionSuccess-2024-2024066	huey-2024066	Huey		2024-12-21	2024	2024	2026-02-09T18:00:22Z
adoptionSuccess-2024-2024068	loki-2024068	Loki		2024-12-21	2024	2024	2026-02-09T18:00:37Z
adoptionSuccess-2024-2024072	lady-2024072	Lady		2024-12-17	2024	2024	2026-02-09T18:00:31Z
adoptionSuccess-2024-2024067	dewey-2024067	Dewey		2024-12-14	2024	2024	2026-02-09T18:00:04Z
adoptionSuccess-2024-2024084	korben-2024084	Korben		2024-12-14	2024	2024	2026-02-09T18:00:26Z
adoptionSuccess-2024-2024045	milo-2024045	Milo		2024-12-10	2024	2024	2026-02-09T18:01:05Z
adoptionSuccess-2024-2024077	skoll-2024077	Skoll		2024-12-10	2024	2024	2026-02-09T18:01:35Z
adoptionSuccess-2024-2024075	ember-2024075	Ember		2024-12-01	2024	2024	2026-02-09T18:00:15Z
adoptionSuccess-2024-2024074	luna-nova-2024074	Luna Nova		2024-11-17	2024	2024	2026-02-09T18:00:45Z
adoptionSuccess-2024-2024062	scout-2024062	Scout		2024-11-10	2024	2024	2026-02-09T18:01:27Z
adoptionSuccess-2024-2024055	tyr-2024055	Tyr		2024-11-08	2024	2024	2026-02-09T18:01:46Z
adoptionSuccess-2024-2024041	maggie-2024041	Maggie		2024-11-02	2024	2024	2026-02-09T18:00:47Z
adoptionSuccess-2024-2024059	kumo-2024059	Kumo		2024-11-02	2024	2024	2026-02-09T18:00:29Z
adoptionSuccess-2024-2024044	siryn-rey-2024044	Siryn Rey		2024-10-08	2024	2024	2026-02-09T18:01:31Z
adoptionSuccess-2024-2024053	ramona-2024053	Ramona		2024-10-06	2024	2024	2026-02-09T18:01:12Z
adoptionSuccess-2024-2024054	echo-2024054	Echo		2024-10-06	2024	2024	2026-02-09T18:00:09Z
adoptionSuccess-2024-2024058	dazzle-2024058	Dazzle		2024-10-01	2024	2024	2026-02-09T17:59:59Z
